"project","branch","date","author","message"
"app-usage-tracker-js","phase-2","Wed Mar 19 06:33:25 2025 -0600","flavioespinoza","fix for getCommitInfo"
"app-usage-tracker-js","phase-2","Wed Mar 19 06:19:04 2025 -0600","flavioespinoza","first round of changes"
"app-usage-tracker-js","phase-2","Wed Mar 19 04:54:43 2025 -0600","flavioespinoza","stuff"
"app-usage-tracker-js","phase-2","Wed Mar 19 01:54:35 2025 -0600","flavioespinoza","readme"
"app-usage-tracker-js","phase-2","Wed Mar 19 01:49:03 2025 -0600","flavioespinoza","added scrips n stuff"
"bless-auth","main","Sun Feb 23 09:02:59 2025 -0700","Flavio Espinoza","removed_unused"
"bless-auth","main","Sun Feb 23 08:58:34 2025 -0700","Flavio Espinoza","enter otp and goodbye components refactored."
"bless-auth","main","Sun Feb 23 08:39:26 2025 -0700","Flavio Espinoza","dark_light_mode"
"bless-auth","main","Wed Feb 19 16:56:39 2025 -0700","Flavio Espinoza","title"
"bless-auth","main","Wed Feb 19 16:42:12 2025 -0700","Flavio Espinoza","removed_unused"
"bless-auth","main","Wed Feb 19 16:34:26 2025 -0700","Flavio Espinoza","formatting"
"datedash","main","Sun Mar 30 04:11:22 2025 -0600","flavioespinoza","add: Peackock yellow"
"datedash","main","Sun Mar 30 00:57:54 2025 -0600","flavioespinoza","1.5.7"
"datedash","main","Sun Mar 30 00:57:44 2025 -0600","flavioespinoza","update: Publish script"
"datedash","main","Sun Mar 30 00:55:55 2025 -0600","flavioespinoza","v1.5.6"
"datedash","main","Sun Mar 30 00:55:01 2025 -0600","flavioespinoza","1.5.5"
"datedash","main","Sun Mar 30 00:54:43 2025 -0600","flavioespinoza","update: Package.json scripts for publishing"
"datedash","main","Sun Mar 30 00:50:57 2025 -0600","flavioespinoza","v1.5.4"
"datedash","main","Sun Mar 30 00:47:40 2025 -0600","flavioespinoza","chore: Changed name of NPM module to @flavioespinoza/datedash"
"datedash","main","Sun Mar 30 00:43:46 2025 -0600","flavioespinoza","update: Readme"
"datedash","main","Sun Mar 30 00:35:59 2025 -0600","flavioespinoza","clean: Formatting"
"extension-aux","main","Wed Feb 19 14:33:34 2025 -0700","Flavio Espinoza","Changed getUserAchievementQuiz to use the User model. (#5)"
"extension-aux","main","Wed Feb 19 14:25:52 2025 -0700","Flavio Espinoza","Modified the getUserAchievemntQuiz method to only  return isAchievementQuizCompleted"
"extension-aux","main","Wed Feb 19 14:20:29 2025 -0700","Flavio Espinoza","Modified the getUserAchievemntQuiz method to only  return isAchievementQuizCompleted"
"extension-aux","main","Wed Feb 19 14:11:46 2025 -0700","Flavio Espinoza","Modified the getUserAchievemntQuiz method to only  return isAchievementQuizCompleted"
"extension-aux","main","Wed Feb 19 11:18:07 2025 -0700","Flavio Espinoza","Changed getUserAchievementQuiz to use the User model."
"extension-aux","main","Wed Feb 19 10:17:27 2025 -0700","Flavio Espinoza","Merge pull request #4 from blocklessnetwork/feature/include-quiz-passed-flag"
"extension-aux","main","Tue Feb 18 02:56:05 2025 -0700","Flavio Espinoza","Feature/quiz verification (#1)"
"extension-aux","main","Tue Feb 18 02:46:53 2025 -0700","Flavio Espinoza","updated_quiz_data"
"extension-aux","main","Tue Feb 18 02:44:43 2025 -0700","Flavio Espinoza","removed_chalk"
"extension-aux","main","Mon Feb 17 10:53:22 2025 -0700","Flavio Espinoza","Added server side data validation and recaptcha."
"extension-aux","main","Sun Feb 16 16:32:40 2025 -0700","Flavio Espinoza","Corrected file name mispelling."
"extension-aux","main","Sun Feb 16 16:31:03 2025 -0700","Flavio Espinoza","removed_unused"
"extension-aux","main","Sun Feb 16 16:29:51 2025 -0700","Flavio Espinoza","removed_unused"
"extension-aux","main","Sun Feb 16 16:27:35 2025 -0700","Flavio Espinoza","removed_build_folder"
"extension-aux","main","Sun Feb 16 16:26:55 2025 -0700","Flavio Espinoza","removed_build_folder"
"extension-aux","main","Sun Feb 16 16:23:37 2025 -0700","Flavio Espinoza","Formatting."
"extension-aux","main","Sun Feb 16 15:59:50 2025 -0700","Flavio Espinoza","Specified users collection."
"extension-aux","main","Sun Feb 16 15:57:41 2025 -0700","Flavio Espinoza","merged_main"
"extension-aux","main","Sun Feb 16 15:42:49 2025 -0700","Flavio Espinoza","Updated data model and post function."
"extension-aux","main","Mon Feb 10 13:55:59 2025 -0700","Flavio Espinoza","deleted_unused"
"extension-aux","main","Mon Feb 10 13:55:02 2025 -0700","Flavio Espinoza","removed_question"
"extension-aux","main","Mon Feb 10 13:50:50 2025 -0700","Flavio Espinoza","updated_quiz_model"
"extension-aux","main","Mon Feb 10 13:17:52 2025 -0700","Flavio Espinoza","post"
"extension-gateway","feature/node-apis","Wed Dec 18 10:10:25 2024 -0700","Flavio Espinoza","Fix breaking ci.yml change."
"extension-gateway","feature/node-apis","Wed Dec 18 10:08:03 2024 -0700","Flavio Espinoza","Fix breaking ci.yml change."
"extension-gateway","feature/node-apis","Wed Dec 18 10:03:52 2024 -0700","Flavio Espinoza","Reverted core tests and ci.yml"
"extension-gateway","feature/node-apis","Wed Dec 18 09:26:17 2024 -0700","Flavio Espinoza","Removed starknet and restored package-lock.json"
"extension-gateway","feature/node-apis","Wed Dec 18 09:08:02 2024 -0700","Flavio Espinoza","Updates per Udit."
"extension-gateway","feature/node-apis","Tue Dec 17 09:57:28 2024 -0700","Flavio Espinoza","Reverted packages/server/src/routes/user.ts"
"extension-gateway","feature/node-apis","Tue Dec 17 09:54:30 2024 -0700","Flavio Espinoza","Reverted packages/core/src/gateway.ts"
"extension-gateway","feature/node-apis","Tue Dec 17 09:52:43 2024 -0700","Flavio Espinoza","Reverted packages/core/src/services/nodeUser.ts"
"extension-gateway","feature/node-apis","Tue Dec 17 09:51:14 2024 -0700","Flavio Espinoza","Reverted packages/server/src/index.ts"
"extension-gateway","feature/node-apis","Tue Dec 17 07:28:17 2024 -0700","Flavio Espinoza","Fix breaking change. Changed ubuntu version to 20.04"
"extension-gateway","feature/node-apis","Tue Dec 17 07:07:30 2024 -0700","Flavio Espinoza","Fix breaking change. Update version mongo-memory-server."
"extension-gateway","feature/node-apis","Tue Dec 17 07:01:36 2024 -0700","Flavio Espinoza","Fix breaking change. Update version mongo-memory-server."
"extension-gateway","feature/node-apis","Tue Dec 17 06:57:17 2024 -0700","Flavio Espinoza","Fix breaking change. Update version mongo-memory-server."
"extension-gateway","feature/node-apis","Tue Dec 17 06:50:30 2024 -0700","Flavio Espinoza","Fix breaking change. Update version mongo-memory-server."
"extension-gateway","feature/node-apis","Tue Dec 17 06:45:36 2024 -0700","Flavio Espinoza","Fix breaking change. Update version mongo-memory-server."
"extension-gateway","feature/node-apis","Tue Dec 17 06:43:20 2024 -0700","Flavio Espinoza","Fix breaking change. Update version mongo-memory-server."
"extension-gateway","feature/node-apis","Tue Dec 17 06:34:18 2024 -0700","Flavio Espinoza","Fix breaking change."
"extension-gateway","feature/node-apis","Tue Dec 17 06:32:56 2024 -0700","Flavio Espinoza","Merged origin feature/node-apis"
"extension-gateway","feature/node-apis","Tue Dec 17 06:27:02 2024 -0700","Flavio Espinoza","Merge branch 'feature/node-apis' into feature/node-apis-user-socials"
"extension-gateway","feature/node-apis","Tue Dec 17 06:22:37 2024 -0700","Flavio Espinoza","Fix breaking change."
"extension-gateway","feature/node-apis","Tue Dec 17 06:14:37 2024 -0700","Flavio Espinoza","Fix breaking change."
"extension-gateway","feature/node-apis","Fri Dec 13 11:53:41 2024 -0700","Flavio Espinoza","getUserInfo added"
"extension-gateway","feature/node-apis","Fri Dec 13 08:29:19 2024 -0700","Flavio Espinoza","ignore"
"extension-gateway","feature/node-apis","Fri Dec 13 04:58:19 2024 -0700","Flavio Espinoza","Social verify added."
"extension-gateway","feature/node-apis","Fri Dec 13 02:25:51 2024 -0700","Flavio Espinoza","Rewards data updated isXConnected, isDiscordConnected."
"extension-gateway","feature/node-apis","Tue Dec 10 17:18:54 2024 -0700","Flavio Espinoza","merged"
"extension-gateway","feature/node-apis","Tue Dec 10 17:17:40 2024 -0700","Flavio Espinoza","x-api-key added"
"extension-gateway","feature/node-apis","Thu Dec 5 12:15:50 2024 -0700","Flavio Espinoza","socialConnections defaults added."
"my-portfolio","main","Mon Apr 7 07:11:19 2025 -0600","flavioespinoza","update: all-commits.json"
"my-portfolio","main","Mon Apr 7 06:37:36 2025 -0600","Flavio Espinoza","Colors colors colors colors (#30)"
"my-portfolio","main","Mon Apr 7 06:35:03 2025 -0600","Flavio Espinoza","colors colors colors colors (#29)"
"my-portfolio","main","Mon Apr 7 04:56:34 2025 -0600","Flavio Espinoza","refactor: Server Actions implemented on app/commits/page.tsx and removed app/api/commits/route.ts (#28)"
"my-portfolio","main","Sun Apr 6 09:05:32 2025 -0600","flavioespinoza","update: salsa-ui"
"my-portfolio","main","Sun Apr 6 07:51:26 2025 -0600","flavioespinoza","update: salsa-ui"
"my-portfolio","main","Sat Apr 5 22:16:50 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sat Apr 5 12:13:06 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sat Apr 5 12:10:01 2025 -0600","flavioespinoza","change: salsa colors"
"my-portfolio","main","Sat Apr 5 11:53:58 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sat Apr 5 11:50:23 2025 -0600","Flavio Espinoza","Merge pull request #27 from flavioespinoza/color-scheme-sage-hotpink-cblue"
"my-portfolio","main","Sat Apr 5 11:49:12 2025 -0600","flavioespinoza","clean"
"my-portfolio","main","Sat Apr 5 11:25:58 2025 -0600","flavioespinoza","Add salsa-ui index.css import to layout.tsx to apply Button styles"
"my-portfolio","main","Sat Apr 5 10:42:52 2025 -0600","flavioespinoza","Fix import path for chat subcomponents in chat/page.tsx"
"my-portfolio","main","Sat Apr 5 02:20:55 2025 -0600","flavioespinoza","change: Color scheme - sage, hotppnk, cblue"
"my-portfolio","main","Sat Apr 5 01:04:42 2025 -0600","Flavio Espinoza","Merge pull request #26 from flavioespinoza/checkbox"
"my-portfolio","main","Sat Apr 5 01:04:20 2025 -0600","flavioespinoza","change: Added checkbox from salsa-ui"
"my-portfolio","main","Sat Apr 5 00:41:55 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sat Apr 5 00:26:43 2025 -0600","flavioespinoza","fix: Colors for chat bubbles"
"my-portfolio","main","Sat Apr 5 00:15:29 2025 -0600","Flavio Espinoza","Merge pull request #25 from flavioespinoza/chat-return-option"
"my-portfolio","main","Sat Apr 5 00:15:00 2025 -0600","flavioespinoza","fix: Chat bg colors"
"my-portfolio","main","Sat Apr 5 00:00:27 2025 -0600","flavioespinoza","fix: Default button bg-primary and text"
"my-portfolio","main","Fri Apr 4 23:40:49 2025 -0600","flavioespinoza","work-around: Temp fix for theme problem not seeing css unless explicetly added to className for salsa-ui components"
"my-portfolio","main","Fri Apr 4 22:40:27 2025 -0600","Flavio Espinoza","Merge pull request #24 from flavioespinoza/remove-light-dark-theme"
"my-portfolio","main","Fri Apr 4 22:38:43 2025 -0600","flavioespinoza","removed: Unused hooks"
"my-portfolio","main","Fri Apr 4 22:37:26 2025 -0600","flavioespinoza","removed: Dark-light theme toggle from NavBar"
"my-portfolio","main","Fri Apr 4 22:27:24 2025 -0600","flavioespinoza","chore: Correctly show hsl colors in CSS"
"my-portfolio","main","Fri Apr 4 22:16:29 2025 -0600","flavioespinoza","chore: Moved bless dashboard images to single folder"
"my-portfolio","main","Fri Apr 4 18:29:18 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Fri Apr 4 18:22:31 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Fri Apr 4 18:17:21 2025 -0600","Flavio Espinoza","refactor: Chat page. Moved chatbox to the bottom of page similar to chatGPT (#23)"
"my-portfolio","main","Fri Apr 4 17:42:08 2025 -0600","flavioespinoza","removed: UI Components"
"my-portfolio","main","Fri Apr 4 17:36:18 2025 -0600","Flavio Espinoza","markdown code block highlighter (#22)"
"my-portfolio","main","Fri Apr 4 13:19:17 2025 -0600","Flavio Espinoza","Merge pull request #21 from flavioespinoza/bless-dashboard-images"
"my-portfolio","main","Fri Apr 4 13:18:40 2025 -0600","flavioespinoza","remove: Zip archive"
"my-portfolio","main","Fri Apr 4 13:17:01 2025 -0600","flavioespinoza","add: Images of my-nodes retired"
"my-portfolio","main","Fri Apr 4 13:09:21 2025 -0600","Flavio Espinoza","add: Added screenshots of bless.network/dashboard (#20)"
"my-portfolio","main","Fri Apr 4 13:08:49 2025 -0600","flavioespinoza","add: Added screenshots of bless.network/dashboard"
"my-portfolio","main","Sun Mar 30 18:30:56 2025 -0600","Flavio Espinoza","feat: improve react-markdown rendering and spacing in chat bubbles (#19)"
"my-portfolio","main","Sun Mar 30 13:39:55 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sun Mar 30 13:32:41 2025 -0600","Flavio Espinoza","chat phase 1 (#18)"
"my-portfolio","main","Sun Mar 30 09:28:43 2025 -0600","flavioespinoza","add: Chat route"
"my-portfolio","main","Sun Mar 30 09:26:02 2025 -0600","Flavio Espinoza","feat: add AI chat with Zustand persistence, toast, dark mode, and typing indicator (#17)"
"my-portfolio","main","Sun Mar 30 09:03:44 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sun Mar 30 09:01:42 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Sun Mar 30 08:53:58 2025 -0600","Flavio Espinoza","refactor: changed all local components to Salsa UI components (#16)"
"my-portfolio","main","Sun Mar 30 07:36:57 2025 -0600","Flavio Espinoza","refactor: Contact page forms (#15)"
"my-portfolio","main","Sun Mar 30 07:02:52 2025 -0600","Flavio Espinoza","add: Honeypot protection to contact form (#14)"
"my-portfolio","main","Sun Mar 30 04:41:31 2025 -0600","flavioespinoza","update: Fluid page.tsx"
"my-portfolio","main","Sun Mar 30 03:58:58 2025 -0600","Flavio Espinoza","feat: add fluid-tailwind and fluid button (#13)"
"my-portfolio","main","Sun Mar 30 02:35:20 2025 -0600","flavioespinoza","fix: Reverted fluid-tailwind"
"my-portfolio","main","Sun Mar 30 02:30:34 2025 -0600","flavioespinoza","On main: fluid tailwind"
"my-portfolio","main","Sun Mar 30 02:30:34 2025 -0600","flavioespinoza","index on main: dcb7373 feat: add Calendly booking and email contact form to /contact page (#12)"
"my-portfolio","main","Sun Mar 30 02:30:34 2025 -0600","flavioespinoza","untracked files on main: dcb7373 feat: add Calendly booking and email contact form to /contact page (#12)"
"my-portfolio","main","Sun Mar 30 00:23:20 2025 -0600","Flavio Espinoza","feat: add Calendly booking and email contact form to /contact page (#12)"
"my-portfolio","main","Sat Mar 29 23:59:15 2025 -0600","Flavio Espinoza","feat: Connected Contact Form to Frormspree (#11)"
"my-portfolio","main","Wed Mar 26 17:38:42 2025 -0600","Flavio Espinoza","Merge pull request #10 from flavioespinoza:button-refactor"
"my-portfolio","main","Wed Mar 26 17:36:36 2025 -0600","flavioespinoza","update: Changed button component variant"
"my-portfolio","main","Wed Mar 26 15:44:54 2025 -0600","Flavio Espinoza","Merge pull request #9 from flavioespinoza/fix-navbar-sticky-background"
"my-portfolio","main","Wed Mar 26 15:43:12 2025 -0600","flavioespinoza","fix(navbar): avoid hydration mismatch by delaying theme toggle render until mounted"
"my-portfolio","main","Wed Mar 26 11:05:12 2025 -0600","flavioespinoza","fix: preserve header theme colors on scroll, add subtle border and shadow only"
"my-portfolio","main","Wed Mar 26 01:17:29 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Wed Mar 26 01:13:37 2025 -0600","flavioespinoza","update: globals.css"
"my-portfolio","main","Wed Mar 26 00:56:08 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Wed Mar 26 00:41:38 2025 -0600","flavioespinoza","chore: remove unused-imports plugin and simplify ESLint config for Vercel"
"my-portfolio","main","Wed Mar 26 00:29:34 2025 -0600","Flavio Espinoza","Merge pull request #8 from flavioespinoza/fix-projects-ai-llm-data-visualizer"
"my-portfolio","main","Wed Mar 26 00:22:54 2025 -0600","flavioespinoza","fix: embed working URL for LLM Data Visualizer on /projects page"
"my-portfolio","main","Wed Mar 26 00:18:23 2025 -0600","flavioespinoza","chore: disable ESLint during Vercel builds via vercel.json"
"my-portfolio","main","Tue Mar 25 23:46:12 2025 -0600","Flavio Espinoza","Merge pull request #7 from flavioespinoza/fix-projects-ai-chat-assistant"
"my-portfolio","main","Tue Mar 25 23:45:02 2025 -0600","flavioespinoza","fix: update iframe source for AI Chat Assistant project with correct Vercel deploy URL"
"my-portfolio","main","Tue Mar 25 23:27:29 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Tue Mar 25 23:20:48 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Tue Mar 25 23:08:49 2025 -0600","flavioespinoza","feat: Add structured resume JSON-LD schema to layout for SEO and AI parsing"
"my-portfolio","main","Tue Mar 25 22:59:09 2025 -0600","flavioespinoza","format: All files"
"my-portfolio","main","Tue Mar 25 22:53:40 2025 -0600","flavioespinoza","add: job-search-todo.md"
"my-portfolio","main","Tue Mar 25 22:38:52 2025 -0600","flavioespinoza","add: job-search-todo.md"
"my-portfolio","main","Tue Mar 25 22:32:14 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Tue Mar 25 22:30:06 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Tue Mar 25 22:19:57 2025 -0600","Flavio Espinoza","Merge pull request #6 from flavioespinoza/contact-page"
"my-portfolio","main","Tue Mar 25 22:18:36 2025 -0600","flavioespinoza","chore: Add /contact to global navigation menu"
"my-portfolio","main","Tue Mar 25 22:16:49 2025 -0600","flavioespinoza","feat: Add simple /contact page with email and social links"
"my-portfolio","main","Tue Mar 25 22:15:23 2025 -0600","Flavio Espinoza","Merge pull request #5 from flavioespinoza/expose-all-commits"
"my-portfolio","main","Tue Mar 25 22:13:20 2025 -0600","flavioespinoza","fix: repair broken commits page export due to invalid JSX module"
"my-portfolio","main","Tue Mar 25 22:10:20 2025 -0600","flavioespinoza","feat: Expose all-commits.json via API route for viewing and download"
"my-portfolio","main","Tue Mar 25 22:08:28 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Tue Mar 25 22:07:15 2025 -0600","Flavio Espinoza","Merge pull request #4 from flavioespinoza/meta-og-favicon"
"my-portfolio","main","Tue Mar 25 22:06:30 2025 -0600","flavioespinoza","chore: Enhance metadata with Open Graph and Twitter card support"
"my-portfolio","main","Tue Mar 25 22:02:44 2025 -0600","flavioespinoza","update: Readme todo list"
"my-portfolio","main","Tue Mar 25 22:00:56 2025 -0600","Flavio Espinoza","Merge pull request #3 from flavioespinoza/vercel-auto-deploy"
"my-portfolio","main","Tue Mar 25 21:58:53 2025 -0600","flavioespinoza","fix: production build errors on Vercel (theme types, eslint)"
"my-portfolio","main","Tue Mar 25 21:54:13 2025 -0600","flavioespinoza","feat: Auto deploy to Vercel when branch main changes"
"my-portfolio","main","Tue Mar 25 21:44:32 2025 -0600","flavioespinoza","update: Readme todo list."
"my-portfolio","main","Tue Mar 25 21:39:04 2025 -0600","Flavio Espinoza","Merge pull request #2 from flavioespinoza/polish-about-page"
"my-portfolio","main","Tue Mar 25 21:37:13 2025 -0600","flavioespinoza","style: Polish /about page layout, spacing, and typography"
"my-portfolio","main","Tue Mar 25 21:31:35 2025 -0600","Flavio Espinoza","Merge pull request #1 from flavioespinoza/theme-support"
"my-portfolio","main","Tue Mar 25 21:31:07 2025 -0600","flavioespinoza","update: Ignore .txt"
"my-portfolio","main","Tue Mar 25 21:29:49 2025 -0600","flavioespinoza","Removed unused and updated ignore."
"my-portfolio","main","Tue Mar 25 21:26:45 2025 -0600","flavioespinoza","feat: Add full theme support with next-themes and Tailwind color tokens"
"my-portfolio","main","Mon Mar 24 22:52:23 2025 -0600","flavioespinoza","update: Readme todos"
"my-portfolio","main","Mon Mar 24 22:49:55 2025 -0600","flavioespinoza","formatting: All files"
"my-portfolio","main","Mon Mar 24 22:48:53 2025 -0600","flavioespinoza","update: Readme"
"my-portfolio","main","Mon Mar 24 22:44:24 2025 -0600","flavioespinoza","update: Added deploy to vercel script to package.json"
"my-portfolio","main","Mon Mar 24 22:41:32 2025 -0600","flavioespinoza","fix: Missing npm packages."
"my-portfolio","main","Mon Mar 24 22:14:48 2025 -0600","flavioespinoza","merge branch: about-page"
"my-portfolio","main","Mon Mar 24 22:14:48 2025 -0600","flavioespinoza","feat: Polish /about page with background, design focus, and availability"
"my-portfolio","main","Mon Mar 24 22:13:22 2025 -0600","flavioespinoza","add: readmet todo list"
"my-portfolio","main","Mon Mar 24 22:09:14 2025 -0600","flavioespinoza","merge branch: contact-page"
"my-portfolio","main","Mon Mar 24 22:09:14 2025 -0600","flavioespinoza","feat: Add /contact page with social links and basic contact form"
"my-portfolio","main","Mon Mar 24 22:07:47 2025 -0600","flavioespinoza","merge branch: components"
"my-portfolio","main","Mon Mar 24 22:07:47 2025 -0600","flavioespinoza","feat: Add responsive sticky navbar with animated mobile dropdown"
"my-portfolio","main","Mon Mar 24 19:11:08 2025 -0600","flavioespinoza","add: Prettier"
"my-portfolio","main","Mon Mar 24 19:04:53 2025 -0600","flavioespinoza","Updated readme."
"my-portfolio","main","Mon Mar 24 19:04:08 2025 -0600","flavioespinoza","merge branch: projects-ui-polish"
"my-portfolio","main","Mon Mar 24 19:04:08 2025 -0600","flavioespinoza","style: Polish /projects page layout and iframe components"
"my-portfolio","main","Mon Mar 24 18:58:02 2025 -0600","flavioespinoza","merge branch: commits-ui-polish"
"my-portfolio","main","Mon Mar 24 18:58:02 2025 -0600","flavioespinoza","style: Polish /commits table UI with borders, padding, and heading styles"
"my-portfolio","main","Mon Mar 24 18:53:27 2025 -0600","flavioespinoza","merge branch: commits-url-search"
"my-portfolio","main","Mon Mar 24 18:53:27 2025 -0600","flavioespinoza","feat: Persist search input in /commits page URL"
"my-portfolio","main","Mon Mar 24 18:50:14 2025 -0600","flavioespinoza","merge branch: commits-url-filters"
"my-portfolio","main","Mon Mar 24 18:50:14 2025 -0600","flavioespinoza","feat: Persist project and groupBy filters in /commits URL state"
"my-portfolio","main","Mon Mar 24 18:46:55 2025 -0600","flavioespinoza","feat: Enhance /commits page with analytics and filtering tools - Add Bar chart with dynamic time grouping (day, week, month, year) - Implement full-text search with real-time match highlighting - Enable CSV export for filtered results using PapaParse - Add dynamic project filter dropdown for commit breakdowns - Integrate dayjs + weekOfYear plugin for accurate date handling"
"my-portfolio","main","Mon Mar 24 18:15:48 2025 -0600","flavioespinoza","first commit"
"my-project","main","Thu Mar 20 23:13:59 2025 -0600","flavioespinoza","Add README.md with usage and Tailwind setup"
"my-ui-components","main","Fri Mar 21 00:35:29 2025 -0600","flavioespinoza","2.0.7"
"my-ui-components","main","Fri Mar 21 00:35:11 2025 -0600","flavioespinoza","fix"
"my-ui-components","main","Fri Mar 21 00:34:43 2025 -0600","flavioespinoza","fix"
"my-ui-components","main","Fri Mar 21 00:32:23 2025 -0600","flavioespinoza","2.0.6"
"my-ui-components","main","Fri Mar 21 00:32:10 2025 -0600","flavioespinoza","fix"
